n_images,fid,fid_change,fid_change_1k
1000,62.05921936035156,,
2000,39.71966552734375,-22.33955383300781,-22.339553833007812
3000,31.254283905029297,-8.465381622314453,-8.465381622314453
4000,27.34213256835937,-3.912151336669922,-3.9121513366699254
5000,24.554784774780277,-2.7873477935791016,-2.7873477935790945
6000,22.868385314941406,-1.6863994598388672,-1.6863994598388707
7000,21.27239418029785,-1.595991134643555,-1.5959911346435547
8000,19.743505477905277,-1.528888702392578,-1.5288887023925746
9000,18.72645378112793,-1.0170516967773438,-1.0170516967773473
10000,18.05248260498047,-0.6739711761474609,-0.6739711761474609
11000,17.60765838623047,-0.44482421875,-0.44482421875
12000,17.250709533691406,-0.3569488525390625,-0.3569488525390625
13000,16.950937271118164,-0.2997722625732422,-0.2997722625732422
14000,16.43050765991211,-0.5204296112060547,-0.5204296112060547
15000,16.160566329956055,-0.2699413299560547,-0.2699413299560547
16000,15.950605392456056,-0.2099609375,-0.20996093749999822
17000,15.862418174743652,-0.0881872177124023,-0.08818721771240412
18000,15.755663871765137,-0.1067543029785156,-0.10675430297851562
19000,15.671760559082031,-0.0839033126831054,-0.08390331268310547
20000,15.37717342376709,-0.2945871353149414,-0.2945871353149414
21000,15.015089988708496,-0.3620834350585937,-0.36208343505859375
22000,14.772184371948242,-0.2429056167602539,-0.2429056167602539
23000,14.520322799682615,-0.251861572265625,-0.2518615722656268
24000,14.319961547851562,-0.2003612518310547,-0.2003612518310529
25000,14.19406795501709,-0.1258935928344726,-0.12589359283447266
26000,14.05929470062256,-0.1347732543945312,-0.13477325439452947
27000,13.969901084899902,-0.0893936157226562,-0.08939361572265803
28000,14.035637855529783,0.0657367706298828,0.06573677062988104
29000,14.077173233032228,0.0415353775024414,0.04153537750244496
30000,14.089451789855955,0.0122785568237304,0.012278556823726916
