n_images,fid,fid_change
1000,62.05921936035156,
5000,24.554784774780277,-37.50443458557129
10000,18.05248260498047,-6.502302169799805
15000,16.160566329956055,-1.891916275024414
20000,15.37717342376709,-0.7833929061889648
25000,14.19406795501709,-1.18310546875
30000,14.089451789855955,-0.1046161651611328
