artist,method,n_pairs,clip_vanilla,clip_method,clip_drop,style_vanilla,style_method,style_drop,style_target_rate,clip_image_similarity,lpips,fid,kid,resnet_top1_agreement,resnet_top5_overlap,dino_similarity,run_mode
Thomas Kinkade,SPACE,500.0,0.3572314575576782,0.30011851539611817,0.05711294216156004,0.29839595817565917,0.23394926254272463,0.06444669563293454,0.484,0.7549638995528221,0.5784489576816558,,,0.224,0.29440000000000005,0.4708753638193011,research-method
MEAN,SPACE,500.0,0.3572314575576782,0.30011851539611817,0.05711294216156004,0.29839595817565917,0.23394926254272463,0.06444669563293454,0.484,0.7549638995528221,0.5784489576816558,,,0.224,0.29440000000000005,0.4708753638193011,research-method
