n_images,fid,fid_change
1000,61.91322326660156,
5000,24.411041259765625,-37.50218200683594
10000,17.960159301757812,-6.4508819580078125
15000,16.333419799804688,-1.626739501953125
20000,15.626293182373049,-0.7071266174316406
25000,14.365873336791992,-1.260419845581055
30000,14.085375785827637,-0.2804975509643554
